Emp_ID,Name,Age,Salary (INR),Experience (Years),City,Department,Performance Rating
103,Vinod Iyer,25,2032293.0,,Kochi,HR,4.3
105,Sneha Tiwari,29,1803128.0,7.0,Hyderabad,Management,4.0
106,Neha Kapoor,59,709785.0,4.0,Kolkata,HR,4.8
111,Amit Sharma,44,1374854.0,,Bangalore,Marketing,4.4
113,Priya Singh,40,107749.0,1.0,Bangalore,Operations,4.1
114,Arjun Pandey,38,217483.0,,Delhi,Sales,4.3
116,Vinod Iyer,30,1126393.0,,Bangalore,HR,3.5
117,Neha Kapoor,33,1790808.0,,Mumbai,Management,3.7
119,Anjali Saxena,29,369208.0,0.0,Bangalore,IT,3.5
121,Neha Kapoor,36,1843724.0,,Bangalore,Sales,4.4
122,Samer Desai,34,1707123.0,,Delhi,IT,3.9
123,Riya Gupta,49,1738163.0,,Pune,HR,3.8
124,Sneha Tiwari,24,911546.0,2.0,Hyderabad,Marketing,4.9
125,Alok Mehta,33,1930452.0,,Kochi,Sales,4.0
127,Pankaj Mishra,44,1816467.0,14.0,Hyderabad,IT,4.6
128,Neha Kapoor,46,581725.0,,Mumbai,Operations,4.0
130,Gopal Das,30,1809204.0,,Bangalore,Finance,3.8
131,Riya Gupta,44,239066.0,4.0,Jaipur,Sales,4.9
132,Sneha Tiwari,49,2060586.0,2.0,Hyderabad,Sales,4.1
134,Gopal Das,49,278169.0,,Kolkata,Management,4.8
136,Deepika Reddy,33,1908057.0,1.0,Mumbai,Management,4.6
137,Amit Sharma,35,866862.0,,Pune,IT,4.4
138,Suresh Choudhary,53,943036.0,,Chennai,IT,3.5
143,Anjali Saxena,45,1436474.0,,Pune,Marketing,4.5
144,Suresh Choudhary,30,1924672.0,8.0,Hyderabad,Sales,4.3
148,Deepika Reddy,23,920984.0,,Bangalore,HR,4.4
149,Gopal Das,40,1013514.0,,Mumbai,Marketing,4.6
151,Manish Khanna,32,1668001.0,4.0,Mumbai,Marketing,4.9
152,Meera Nair,24,599085.0,0.0,Kolkata,Finance,4.3
153,Manish Khanna,35,331163.0,,Bangalore,IT,4.7
154,Neha Kapoor,41,526942.0,12.0,Mumbai,Management,4.5
156,Alok Mehta,33,930434.0,11.0,Bangalore,Marketing,4.3
159,Meera Nair,30,1093161.0,8.0,Delhi,Finance,4.3
161,Sunil Kumar,50,606112.0,,Hyderabad,Sales,4.9
162,Neha Kapoor,41,1787238.0,18.0,Chennai,Finance,3.8
163,Swati Joshi,51,562978.0,,Chennai,Management,3.9
164,Samer Desai,41,1562429.0,7.0,Pune,HR,4.3
165,Pankaj Mishra,51,1791612.0,13.0,Chennai,IT,3.7
169,Rohit Bansal,28,684977.0,,Kolkata,Finance,4.1
171,Gopal Das,45,1276936.0,,Kolkata,Sales,4.8
173,Manish Khanna,28,603003.0,3.0,Jaipur,IT,3.7
179,Rajesh Verma,52,257574.0,11.0,Pune,Operations,4.3
180,Sneha Tiwari,32,1310115.0,10.0,Jaipur,Sales,4.0
181,Pankaj Mishra,42,1433398.0,3.0,Kolkata,Marketing,3.9
183,Sneha Tiwari,31,1054226.0,,Kochi,Finance,4.7
188,Ramesh Patil,25,117167.0,,Jaipur,Operations,4.7
189,Vinod Iyer,38,1272551.0,,Hyderabad,HR,4.3
190,Meera Nair,55,924994.0,16.0,Delhi,HR,4.4
194,Rohit Bansal,56,1761613.0,13.0,Pune,IT,5.0
196,Riya Gupta,55,1655646.0,,Kochi,Sales,3.8
199,Sunil Kumar,52,1604286.0,31.0,Hyderabad,Finance,3.8
201,Sneha Tiwari,26,1731579.0,2.0,Kolkata,IT,4.3
205,Priya Singh,22,335769.0,0.0,Hyderabad,IT,4.4
206,Priya Singh,36,1330010.0,8.0,Pune,HR,3.9
207,Swati Joshi,45,616741.0,,Delhi,Operations,4.3
208,Rohit Bansal,37,2193650.0,3.0,Mumbai,Sales,3.6
209,Samer Desai,44,851171.0,,Bangalore,Operations,4.2
211,Priya Singh,23,1611281.0,,Bangalore,Finance,3.8
214,Swati Joshi,34,766871.0,12.0,Hyderabad,Operations,4.3
217,Rohit Bansal,37,329147.0,,Pune,Operations,4.9
219,Rohit Bansal,50,1934984.0,21.0,Pune,Sales,4.4
222,Swati Joshi,28,1421678.0,,Bangalore,Sales,4.9
223,Vinod Iyer,50,1449866.0,,Kolkata,IT,4.3
224,Rohit Bansal,42,557247.0,3.0,Bangalore,Marketing,4.8
225,Rohit Bansal,59,1740945.0,14.0,Kochi,Marketing,4.5
226,Anjali Saxena,46,1470053.0,,Hyderabad,IT,4.0
228,Pankaj Mishra,46,951600.0,9.0,Kolkata,Operations,4.0
231,Amit Sharma,47,80965.0,,Bangalore,HR,4.2
232,Neha Kapoor,38,419239.0,11.0,Chennai,Operations,5.0
233,Pankaj Mishra,29,305333.0,0.0,Kolkata,HR,4.6
236,Sneha Tiwari,44,935089.0,,Hyderabad,HR,4.9
237,Anjali Saxena,28,536877.0,6.0,Bangalore,IT,4.4
238,Neha Kapoor,43,1817534.0,17.0,Kolkata,Operations,4.7
239,Meera Nair,38,2050465.0,,Delhi,IT,4.6
240,Rajesh Verma,54,2006470.0,7.0,Bangalore,Sales,3.6
242,Manish Khanna,26,405951.0,,Kolkata,Marketing,4.9
243,Deepika Reddy,28,1788975.0,,Bangalore,IT,3.7
244,Arjun Pandey,53,787497.0,,Mumbai,IT,5.0
245,Ramesh Patil,24,2185070.0,,Kochi,Operations,4.0
246,Sneha Tiwari,47,1251428.0,,Kochi,Marketing,3.6
247,Rohit Bansal,23,2043799.0,0.0,Mumbai,Management,4.3
248,Riya Gupta,31,200028.0,8.0,Bangalore,Finance,4.8
252,Deepika Reddy,26,704238.0,5.0,Mumbai,HR,3.9
254,Manish Khanna,58,414601.0,13.0,Kolkata,Sales,3.6
259,Anjali Saxena,36,1192966.0,6.0,Mumbai,IT,4.0
261,Priya Singh,24,1239128.0,,Delhi,Management,4.8
262,Rohit Bansal,36,76094.0,10.0,Kochi,Marketing,4.8
270,Arjun Pandey,28,1418938.0,0.0,Kolkata,Management,4.9
271,Arjun Pandey,55,563806.0,,Jaipur,IT,4.4
274,Vinod Iyer,28,1445532.0,1.0,Kolkata,Management,5.0
275,Amit Sharma,52,1194211.0,21.0,Bangalore,Management,3.9
277,Swati Joshi,48,1837394.0,9.0,Hyderabad,HR,5.0
278,Ramesh Patil,48,1880255.0,28.0,Kochi,HR,4.3
279,Anjali Saxena,56,961046.0,,Chennai,Marketing,4.3
282,Meera Nair,53,1079812.0,21.0,Mumbai,Finance,4.8
283,Riya Gupta,42,1814877.0,,Pune,Sales,4.0
284,Pankaj Mishra,56,666703.0,,Delhi,Sales,4.2
286,Suresh Choudhary,40,1492221.0,10.0,Bangalore,Marketing,3.5
289,Neha Kapoor,34,735623.0,,Chennai,Finance,4.3
290,Manish Khanna,39,1956515.0,18.0,Hyderabad,Sales,4.3
291,Arjun Pandey,53,1800325.0,22.0,Chennai,Operations,4.9
296,Anjali Saxena,30,362215.0,0.0,Jaipur,Operations,4.3
301,Sneha Tiwari,44,811125.0,17.0,Delhi,Finance,4.3
303,Sunil Kumar,23,638009.0,,Kolkata,Marketing,3.7
304,Rohit Bansal,57,1521965.0,18.0,Pune,Operations,4.9
305,Manish Khanna,40,1480740.0,2.0,Hyderabad,Sales,4.1
308,Vinod Iyer,55,1932596.0,,Jaipur,Operations,3.8
309,Anjali Saxena,39,1675488.0,0.0,Mumbai,HR,4.7
310,Rohit Bansal,38,1569114.0,12.0,Mumbai,IT,4.8
311,Amit Sharma,57,1215496.0,9.0,Mumbai,Marketing,4.6
312,Anjali Saxena,30,1740155.0,,Delhi,Operations,3.7
314,Rohit Bansal,24,343947.0,,Bangalore,Operations,3.6
318,Ramesh Patil,41,473788.0,,Delhi,Marketing,4.7
321,Arjun Pandey,45,1096491.0,,Delhi,Management,3.7
