Emp_ID,Name,Age,Salary (INR),Experience (Years),City,Department,Performance Rating
100,Rajesh Verma,22,,0.0,Kolkata,HR,5.0
101,Amit Sharma,32,,,Mumbai,Sales,5.0
102,Amit Sharma,32,,,Kochi,IT,3.8
103,Vinod Iyer,25,2032293.0,,Kochi,HR,4.3
104,Samer Desai,33,,,Kochi,Management,4.9
105,Sneha Tiwari,29,1803128.0,7.0,Hyderabad,Management,4.0
106,Neha Kapoor,59,709785.0,4.0,Kolkata,HR,4.8
107,Deepika Reddy,56,,4.0,Delhi,Finance,
108,Alok Mehta,33,,,Jaipur,HR,3.5
109,Riya Gupta,49,,,Chennai,Sales,4.4
110,Suresh Choudhary,31,,9.0,Jaipur,Marketing,5.0
111,Amit Sharma,44,1374854.0,,Bangalore,Marketing,4.4
112,Sneha Tiwari,50,,,Hyderabad,Finance,4.6
113,Priya Singh,40,107749.0,1.0,Bangalore,Operations,4.1
114,Arjun Pandey,38,217483.0,,Delhi,Sales,4.3
115,Gopal Das,49,,10.0,Mumbai,Finance,4.9
116,Vinod Iyer,30,1126393.0,,Bangalore,HR,3.5
117,Neha Kapoor,33,1790808.0,,Mumbai,Management,3.7
118,Priya Singh,28,,,Hyderabad,Finance,4.2
119,Anjali Saxena,29,369208.0,0.0,Bangalore,IT,3.5
120,Sneha Tiwari,55,,,Hyderabad,HR,4.5
121,Neha Kapoor,36,1843724.0,,Bangalore,Sales,4.4
122,Samer Desai,34,1707123.0,,Delhi,IT,3.9
123,Riya Gupta,49,1738163.0,,Pune,HR,3.8
124,Sneha Tiwari,24,911546.0,2.0,Hyderabad,Marketing,4.9
125,Alok Mehta,33,1930452.0,,Kochi,Sales,4.0
126,Ramesh Patil,55,,26.0,Pune,IT,3.9
127,Pankaj Mishra,44,1816467.0,14.0,Hyderabad,IT,4.6
128,Neha Kapoor,46,581725.0,,Mumbai,Operations,4.0
129,Sneha Tiwari,50,,3.0,Hyderabad,Finance,3.5
130,Gopal Das,30,1809204.0,inf,Bangalore,Finance,3.8
131,Riya Gupta,44,239066.0,4.0,Jaipur,Sales,4.9
132,Sneha Tiwari,49,2060586.0,2.0,Hyderabad,Sales,4.1
133,Swati Joshi,30,,,Hyderabad,HR,4.5
134,Gopal Das,49,278169.0,,Kolkata,Management,4.8
135,Arjun Pandey,26,,3.0,Kochi,HR,3.8
136,Deepika Reddy,33,1908057.0,1.0,Mumbai,Management,4.6
137,Amit Sharma,35,866862.0,,Pune,IT,4.4
138,Suresh Choudhary,53,943036.0,,Chennai,IT,3.5
139,Alok Mehta,28,,6.0,Delhi,Operations,3.5
140,Arjun Pandey,36,,12.0,Jaipur,Sales,4.7
141,Pankaj Mishra,37,,,Chennai,Finance,4.3
142,Gopal Das,29,,6.0,Chennai,Management,4.9
143,Anjali Saxena,45,1436474.0,,Pune,Marketing,4.5
144,Suresh Choudhary,30,1924672.0,8.0,Hyderabad,Sales,
145,Ramesh Patil,30,,,Delhi,HR,3.8
146,Neha Kapoor,33,,,Pune,Management,4.8
147,Neha Kapoor,47,,,Hyderabad,HR,3.9
148,Deepika Reddy,23,920984.0,,Bangalore,HR,4.4
149,Gopal Das,40,1013514.0,,Mumbai,Marketing,4.6
150,Sneha Tiwari,41,,21.0,Jaipur,Operations,4.9
151,Manish Khanna,32,1668001.0,4.0,Mumbai,Marketing,4.9
152,Meera Nair,24,599085.0,0.0,Kolkata,Finance,
153,Manish Khanna,35,331163.0,,Bangalore,IT,4.7
154,Neha Kapoor,41,526942.0,12.0,Mumbai,Management,4.5
155,Manish Khanna,34,,,Pune,Marketing,4.6
156,Alok Mehta,33,930434.0,11.0,Bangalore,Marketing,
157,Meera Nair,24,,0.0,Kochi,Finance,4.1
158,Rajesh Verma,50,,18.0,Kochi,Sales,3.9
159,Meera Nair,30,1093161.0,8.0,Delhi,Finance,
160,Amit Sharma,58,,30.0,Delhi,IT,3.6
161,Sunil Kumar,50,606112.0,,Hyderabad,Sales,4.9
162,Neha Kapoor,41,1787238.0,18.0,Chennai,Finance,3.8
163,Swati Joshi,51,562978.0,,Chennai,Management,3.9
164,Samer Desai,41,1562429.0,7.0,Pune,HR,4.3
165,Pankaj Mishra,51,1791612.0,13.0,Chennai,IT,3.7
166,Riya Gupta,49,,15.0,Mumbai,Sales,4.2
167,Rohit Bansal,37,,10.0,Delhi,Operations,4.4
168,Rajesh Verma,23,,,Chennai,Operations,3.5
169,Rohit Bansal,28,684977.0,,Kolkata,Finance,4.1
170,Swati Joshi,57,,,Mumbai,HR,5.0
171,Gopal Das,45,1276936.0,,Kolkata,Sales,4.8
172,Neha Kapoor,23,,2.0,Mumbai,Management,4.6
173,Manish Khanna,28,603003.0,3.0,Jaipur,IT,3.7
174,Priya Singh,27,,,Hyderabad,HR,4.9
175,Manish Khanna,45,,5.0,Kochi,Management,5.0
176,Vinod Iyer,51,,,Pune,Management,3.5
177,Kavita Yadav,30,,,Delhi,Finance,4.6
178,Meera Nair,48,,21.0,Delhi,IT,4.1
179,Rajesh Verma,52,257574.0,11.0,Pune,Operations,4.3
180,Sneha Tiwari,32,1310115.0,10.0,Jaipur,Sales,4.0
181,Pankaj Mishra,42,1433398.0,3.0,Kolkata,Marketing,3.9
182,Manish Khanna,41,,,Delhi,HR,4.5
183,Sneha Tiwari,31,1054226.0,,Kochi,Finance,4.7
184,Suresh Choudhary,28,,5.0,Pune,HR,4.5
185,Arjun Pandey,33,,5.0,Delhi,Finance,4.6
186,Priya Singh,33,,5.0,Bangalore,HR,
187,Pankaj Mishra,53,inf,8.0,Jaipur,IT,4.0
188,Ramesh Patil,25,117167.0,,Jaipur,Operations,4.7
189,Vinod Iyer,38,1272551.0,,Hyderabad,HR,4.3
190,Meera Nair,55,924994.0,16.0,Delhi,HR,4.4
191,Rajesh Verma,29,,,Jaipur,Marketing,4.9
192,Deepika Reddy,27,,,Delhi,Sales,4.5
193,Arjun Pandey,43,,15.0,Kolkata,HR,4.9
194,Rohit Bansal,56,1761613.0,13.0,Pune,IT,5.0
195,Suresh Choudhary,54,,,Jaipur,Management,3.7
196,Riya Gupta,55,1655646.0,,Kochi,Sales,3.8
197,Rohit Bansal,27,,7.0,Jaipur,Finance,4.5
198,Neha Kapoor,38,inf,,Chennai,Finance,4.4
199,Sunil Kumar,52,1604286.0,31.0,Hyderabad,Finance,3.8
200,Meera Nair,43,,,Pune,Finance,4.4
201,Sneha Tiwari,26,1731579.0,2.0,Kolkata,IT,
202,Amit Sharma,52,inf,15.0,Bangalore,Sales,4.3
203,Suresh Choudhary,32,,,Delhi,Management,5.0
204,Pankaj Mishra,44,,12.0,Mumbai,Marketing,4.2
205,Priya Singh,22,335769.0,0.0,Hyderabad,IT,4.4
206,Priya Singh,36,1330010.0,8.0,Pune,HR,3.9
207,Swati Joshi,45,616741.0,,Delhi,Operations,
208,Rohit Bansal,37,2193650.0,3.0,Mumbai,Sales,3.6
209,Samer Desai,44,851171.0,,Bangalore,Operations,4.2
210,Ramesh Patil,23,,,Chennai,Marketing,3.9
211,Priya Singh,23,1611281.0,,Bangalore,Finance,3.8
212,Vinod Iyer,38,,17.0,Kolkata,Sales,4.6
213,Samer Desai,55,,34.0,Mumbai,Sales,4.7
214,Swati Joshi,34,766871.0,12.0,Hyderabad,Operations,
215,Priya Singh,29,,5.0,Chennai,Management,4.2
216,Deepika Reddy,50,,10.0,Jaipur,HR,3.8
217,Rohit Bansal,37,329147.0,,Pune,Operations,4.9
218,Priya Singh,25,,3.0,Kolkata,Management,4.2
219,Rohit Bansal,50,1934984.0,21.0,Pune,Sales,4.4
220,Suresh Choudhary,27,,5.0,Delhi,IT,5.0
221,Meera Nair,44,,,Delhi,HR,4.6
222,Swati Joshi,28,1421678.0,,Bangalore,Sales,4.9
223,Vinod Iyer,50,1449866.0,,Kolkata,IT,
224,Rohit Bansal,42,557247.0,3.0,Bangalore,Marketing,4.8
225,Rohit Bansal,59,1740945.0,14.0,Kochi,Marketing,4.5
226,Anjali Saxena,46,1470053.0,,Hyderabad,IT,4.0
227,Manish Khanna,49,,,Bangalore,Sales,3.6
228,Pankaj Mishra,46,951600.0,9.0,Kolkata,Operations,4.0
229,Gopal Das,29,,3.0,Kochi,Finance,4.8
230,Suresh Choudhary,39,,,Jaipur,IT,4.7
231,Amit Sharma,47,80965.0,,Bangalore,HR,4.2
232,Neha Kapoor,38,419239.0,11.0,Chennai,Operations,5.0
233,Pankaj Mishra,29,305333.0,0.0,Kolkata,HR,4.6
234,Priya Singh,39,,17.0,Mumbai,IT,4.2
235,Pankaj Mishra,46,,,Hyderabad,Sales,5.0
236,Sneha Tiwari,44,935089.0,,Hyderabad,HR,4.9
237,Anjali Saxena,28,536877.0,6.0,Bangalore,IT,4.4
238,Neha Kapoor,43,1817534.0,17.0,Kolkata,Operations,4.7
239,Meera Nair,38,2050465.0,,Delhi,IT,4.6
240,Rajesh Verma,54,2006470.0,7.0,Bangalore,Sales,3.6
241,Amit Sharma,48,,19.0,Mumbai,HR,3.9
242,Manish Khanna,26,405951.0,,Kolkata,Marketing,4.9
243,Deepika Reddy,28,1788975.0,,Bangalore,IT,3.7
244,Arjun Pandey,53,787497.0,,Mumbai,IT,5.0
245,Ramesh Patil,24,2185070.0,,Kochi,Operations,4.0
246,Sneha Tiwari,47,1251428.0,,Kochi,Marketing,3.6
247,Rohit Bansal,23,2043799.0,0.0,Mumbai,Management,4.3
248,Riya Gupta,31,200028.0,8.0,Bangalore,Finance,4.8
249,Riya Gupta,58,,,Pune,Marketing,4.0
250,Swati Joshi,55,,31.0,Kochi,Finance,4.4
251,Suresh Choudhary,31,,9.0,Delhi,Management,4.6
252,Deepika Reddy,26,704238.0,5.0,Mumbai,HR,3.9
253,Sneha Tiwari,45,,,Pune,Sales,4.2
254,Manish Khanna,58,414601.0,13.0,Kolkata,Sales,3.6
255,Gopal Das,52,,,Jaipur,Marketing,4.7
256,Samer Desai,39,,6.0,Jaipur,HR,4.8
257,Priya Singh,30,,4.0,Bangalore,Marketing,3.8
258,Vinod Iyer,33,,,Pune,HR,4.7
259,Anjali Saxena,36,1192966.0,6.0,Mumbai,IT,4.0
260,Rohit Bansal,42,,,Kolkata,Finance,3.5
261,Priya Singh,24,1239128.0,inf,Delhi,Management,4.8
262,Rohit Bansal,36,76094.0,10.0,Kochi,Marketing,4.8
263,Vinod Iyer,39,,,Pune,Management,3.6
264,Pankaj Mishra,46,,,Pune,Marketing,4.6
265,Kavita Yadav,28,,,Chennai,HR,3.8
266,Suresh Choudhary,31,,0.0,Jaipur,Sales,3.5
267,Kavita Yadav,24,,,Delhi,Finance,4.2
268,Anjali Saxena,35,,,Mumbai,Operations,4.6
269,Sunil Kumar,26,,5.0,Chennai,IT,4.7
270,Arjun Pandey,28,1418938.0,0.0,Kolkata,Management,4.9
271,Arjun Pandey,55,563806.0,inf,Jaipur,IT,4.4
272,Priya Singh,53,,18.0,Hyderabad,Operations,5.0
273,Vinod Iyer,48,,15.0,Bangalore,IT,4.4
274,Vinod Iyer,28,1445532.0,1.0,Kolkata,Management,5.0
275,Amit Sharma,52,1194211.0,21.0,Bangalore,Management,3.9
276,Rajesh Verma,58,,6.0,Hyderabad,HR,3.7
277,Swati Joshi,48,1837394.0,9.0,Hyderabad,HR,5.0
278,Ramesh Patil,48,1880255.0,28.0,Kochi,HR,
279,Anjali Saxena,56,961046.0,,Chennai,Marketing,4.3
280,Samer Desai,33,,12.0,Hyderabad,Management,3.8
281,Arjun Pandey,25,,4.0,Hyderabad,Marketing,3.5
282,Meera Nair,53,1079812.0,21.0,Mumbai,Finance,4.8
283,Riya Gupta,42,1814877.0,,Pune,Sales,4.0
284,Pankaj Mishra,56,666703.0,,Delhi,Sales,4.2
285,Manish Khanna,31,,2.0,Hyderabad,HR,3.9
286,Suresh Choudhary,40,1492221.0,10.0,Bangalore,Marketing,3.5
287,Deepika Reddy,32,,10.0,Bangalore,HR,5.0
288,Samer Desai,50,,,Jaipur,Marketing,
289,Neha Kapoor,34,735623.0,inf,Chennai,Finance,4.3
290,Manish Khanna,39,1956515.0,18.0,Hyderabad,Sales,4.3
291,Arjun Pandey,53,1800325.0,22.0,Chennai,Operations,4.9
292,Samer Desai,23,,0.0,Jaipur,HR,
293,Riya Gupta,33,,7.0,Delhi,Marketing,4.4
294,Swati Joshi,26,,,Mumbai,Sales,3.5
295,Sunil Kumar,24,,,Bangalore,HR,4.5
296,Anjali Saxena,30,362215.0,0.0,Jaipur,Operations,4.3
297,Alok Mehta,48,,25.0,Kolkata,Finance,4.9
298,Neha Kapoor,30,inf,2.0,Pune,Operations,4.4
299,Kavita Yadav,38,,7.0,Hyderabad,Operations,4.1
300,Riya Gupta,22,,,Bangalore,Finance,4.0
301,Sneha Tiwari,44,811125.0,17.0,Delhi,Finance,4.3
302,Priya Singh,22,,,Jaipur,Finance,3.7
303,Sunil Kumar,23,638009.0,,Kolkata,Marketing,3.7
304,Rohit Bansal,57,1521965.0,18.0,Pune,Operations,4.9
305,Manish Khanna,40,1480740.0,2.0,Hyderabad,Sales,4.1
306,Gopal Das,44,,17.0,Mumbai,HR,5.0
307,Meera Nair,33,,,Mumbai,Sales,4.9
308,Vinod Iyer,55,1932596.0,inf,Jaipur,Operations,3.8
309,Anjali Saxena,39,1675488.0,0.0,Mumbai,HR,4.7
310,Rohit Bansal,38,1569114.0,12.0,Mumbai,IT,4.8
311,Amit Sharma,57,1215496.0,9.0,Mumbai,Marketing,4.6
312,Anjali Saxena,30,1740155.0,,Delhi,Operations,3.7
313,Anjali Saxena,34,,,Bangalore,Marketing,4.8
314,Rohit Bansal,24,343947.0,,Bangalore,Operations,3.6
315,Sneha Tiwari,25,,,Chennai,HR,4.0
316,Amit Sharma,54,,15.0,Jaipur,Finance,4.0
317,Pankaj Mishra,45,,13.0,Pune,Operations,4.2
318,Ramesh Patil,41,473788.0,,Delhi,Marketing,4.7
319,Alok Mehta,25,,1.0,Pune,Marketing,
320,Kavita Yadav,47,,,Kolkata,Sales,4.7
321,Arjun Pandey,45,1096491.0,,Delhi,Management,3.7
322,Anjali Saxena,34,1173618.0,1.0,Jaipur,Management,3.9
323,Deepika Reddy,44,,13.0,Mumbai,Marketing,4.5
324,Neha Kapoor,24,2121020.0,,Jaipur,Sales,
325,Sunil Kumar,23,,,Hyderabad,IT,4.0
326,Sunil Kumar,43,1725004.0,,Delhi,Marketing,3.9
327,Sunil Kumar,22,1459760.0,0.0,Kolkata,Sales,3.9
328,Deepika Reddy,25,323497.0,,Pune,Management,4.2
329,Alok Mehta,58,inf,,Chennai,Marketing,
330,Vinod Iyer,54,,inf,Bangalore,Management,5.0
331,Neha Kapoor,27,790313.0,,Bangalore,Management,4.5
332,Kavita Yadav,35,1406235.0,8.0,Bangalore,Sales,4.2
333,Deepika Reddy,47,1432764.0,17.0,Bangalore,Sales,4.8
334,Neha Kapoor,57,1409094.0,,Delhi,Sales,4.1
335,Sneha Tiwari,35,,5.0,Kolkata,Sales,3.5
336,Kavita Yadav,29,,,Delhi,Operations,4.9
337,Alok Mehta,55,1531865.0,,Bangalore,IT,4.0
338,Priya Singh,58,,,Chennai,Finance,3.6
339,Riya Gupta,59,800781.0,3.0,Bangalore,Operations,4.2
340,Ramesh Patil,47,,5.0,Mumbai,Marketing,3.5
341,Vinod Iyer,24,793219.0,3.0,Kochi,Management,4.1
342,Rajesh Verma,33,inf,0.0,Kochi,Marketing,3.5
343,Rohit Bansal,25,,,Delhi,IT,3.7
344,Vinod Iyer,49,791420.0,,Jaipur,IT,3.9
345,Sneha Tiwari,38,459455.0,,Hyderabad,Finance,4.3
346,Rajesh Verma,56,,14.0,Bangalore,Marketing,4.8
347,Gopal Das,27,210257.0,5.0,Delhi,Finance,3.8
348,Alok Mehta,53,524260.0,,Delhi,Management,
349,Riya Gupta,51,1399798.0,inf,Kochi,Sales,3.5
350,Pankaj Mishra,54,1891819.0,,Chennai,Finance,3.7
351,Sunil Kumar,57,,18.0,Kochi,Marketing,3.9
352,Priya Singh,37,,,Pune,Operations,3.8
353,Vinod Iyer,41,176054.0,5.0,Mumbai,Marketing,3.5
354,Anjali Saxena,47,,24.0,Pune,IT,4.3
355,Ramesh Patil,37,1231652.0,10.0,Kochi,Management,4.5
356,Pankaj Mishra,52,1162084.0,23.0,Bangalore,Sales,3.9
357,Alok Mehta,42,1452895.0,5.0,Bangalore,Operations,4.9
358,Anjali Saxena,43,2015755.0,5.0,Kolkata,Finance,4.1
359,Rajesh Verma,28,,,Jaipur,Finance,4.1
360,Neha Kapoor,52,1935684.0,31.0,Kochi,Finance,3.7
361,Neha Kapoor,39,154464.0,14.0,Kochi,Sales,3.9
362,Anjali Saxena,27,,1.0,Delhi,Finance,4.3
363,Alok Mehta,33,,10.0,Bangalore,Finance,5.0
364,Swati Joshi,24,2079450.0,,Pune,IT,4.0
365,Rohit Bansal,59,,,Kolkata,Finance,3.5
366,Amit Sharma,58,,26.0,Chennai,IT,3.6
367,Anjali Saxena,40,566197.0,,Mumbai,Operations,3.7
368,Meera Nair,22,,,Bangalore,IT,3.5
369,Arjun Pandey,59,93304.0,24.0,Chennai,Sales,3.9
370,Sunil Kumar,43,386601.0,,Kolkata,HR,4.8
371,Vinod Iyer,35,,,Kolkata,Finance,4.3
372,Amit Sharma,22,195466.0,,Kolkata,Operations,4.4
373,Alok Mehta,28,,,Chennai,Finance,4.8
374,Manish Khanna,37,1531006.0,,Kochi,Sales,3.8
375,Gopal Das,49,1308560.0,20.0,Hyderabad,Finance,4.5
376,Meera Nair,44,,8.0,Chennai,Finance,4.2
377,Arjun Pandey,45,1636075.0,,Bangalore,Operations,4.1
378,Manish Khanna,30,1426272.0,2.0,Jaipur,Finance,4.6
379,Neha Kapoor,49,,24.0,Bangalore,Sales,3.8
380,Anjali Saxena,36,1545334.0,,Delhi,Management,4.6
381,Manish Khanna,50,1098502.0,,Chennai,HR,4.6
382,Pankaj Mishra,42,,,Kolkata,HR,4.5
383,Priya Singh,42,61953.0,,Kochi,Finance,3.7
384,Suresh Choudhary,38,1710626.0,,Chennai,Finance,4.4
385,Priya Singh,37,695798.0,4.0,Kolkata,Marketing,4.0
386,Deepika Reddy,38,,inf,Mumbai,HR,5.0
387,Alok Mehta,48,689323.0,,Mumbai,Operations,3.5
388,Kavita Yadav,41,590819.0,,Kochi,Management,
389,Gopal Das,34,,,Chennai,Marketing,4.2
390,Meera Nair,51,,,Pune,Management,4.3
